,Cont,tc,td,tr,ac,tp1,dp1,tt,tp1.1,p,leb.b,l6.b,uhc,gdp20
Switzerland,Europe,477983,8267,317600,152116,55016,952,3822336,439953,8688062,79.72,22.99,82,64654096
Tajikistan,Asia,13308,90,13215,3,1379,9,NA,NA,9649584,65.58,17.2,67,3367555
Timor-Leste,Asia,49,NA,41,8,37,NA,17616,13229,1331601,55.95,15.68,42,3814071
Togo,Africa,3957,72,3614,271,472,9,187110,22328,8380036,69.7,18.14,72,1551151
Trinidad and Tobago,North America,7265,128,6857,280,5182,91,74912,53436,1401889,74.12,20.14,70,24564119
Tunisia,Africa,159276,5215,117701,36360,13403,439,683912,57550,11883815,74.41,21.46,71,9821784
Turkey,Asia,2326256,22807,2198150,105299,27427,269,26196481,308857,84817409,48.76,14.66,44,26767711
Uganda,Africa,37742,301,12852,24589,812,6,784351,16871,46490498,73.18,18.69,72,2445798
Ukraine,Europe,1115026,19767,791598,303661,25578,453,5733555,131522,43593745,52.47,15.95,41,12024895
United Arab Emirates,Asia,230578,708,206114,23756,23166,71,22410465,2251555,9953328,67.53,16.77,65,55312900
United Kingdom of Great Britain and Northern Ireland,Europe,3072349,81431,1406967,1583951,45132,1196,58860706,864649,68074687,77.85,21.31,85,41899446
United Republic of Tanzania,Africa,509,21,183,305,8,0.3,NA,NA,60619149,71.25,20.77,75,2696891
United States of America,North America,22917571,383277,13483617,9050677,69023,1154,271370632,817310,332029184,74.82,20.59,79,59650998
Uruguay,South America,26186,256,19013,6917,7524,74,701734,201642,3480107,76.69,21.41,83,20187396
Uzbekistan,Asia,77572,617,76014,941,2300,18,1377915,40858,33724183,65.27,16.05,72,6980110
Venezuela (Bolivarian Republic of),South America,116610,1061,110126,5423,4107,37,2441024,85972,28393088,74.09,21.26,73,5259274
Vietnam,Asia,1514,35,1361,118,15,0.4,1431631,14638,97800776,71.45,18.85,73,10174528
Yemen,Asia,2104,611,1407,86,70,20,17404,577,30169331,62.69,16.8,40,1826982
Zambia,Africa,27728,469,20598,6661,1487,25,698215,37434,18651837,44.46,13.2,54,3124204
Zimbabwe,Africa,21477,507,12582,8388,1434,34,222447,14853,14976653,46.57,14.41,54,2443705
